City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Carnarvon,AU,2021-04-13 06:16:55,-24.8667,113.6333,76.96,47,13,21.9
68,Pochutla,MX,2021-04-13 06:17:57,15.7432,-96.4661,75.99,82,0,1.01
69,Hithadhoo,MV,2021-04-13 06:17:58,-0.6,73.0833,83.07,67,41,8.5
70,Port Elizabeth,ZA,2021-04-13 06:17:58,-33.918,25.5701,66.2,100,90,4.23
71,Jalu,LY,2021-04-13 06:17:58,29.0331,21.5482,66.47,24,54,13.51
72,Vaini,TO,2021-04-13 06:17:59,-21.2,-175.2,75.2,88,20,5.75
73,Mataura,NZ,2021-04-13 06:17:59,-46.1927,168.8643,54.0,95,100,2.33
74,Klaksvik,FO,2021-04-13 06:17:59,62.2266,-6.589,39.2,75,75,9.22
75,North Mankato,US,2021-04-13 06:18:00,44.1733,-94.0339,37.0,75,90,16.11
76,Salaga,GH,2021-04-13 06:18:00,8.5508,-0.5188,81.59,68,99,7.09
77,Araouane,ML,2021-04-13 06:18:00,18.9048,-3.5265,82.4,12,0,9.1
78,Hauterive,FR,2021-04-13 06:18:01,46.0901,3.4459,32.0,86,0,1.14
79,Aleppo,SY,2021-04-13 06:18:01,36.25,37.5,52.14,60,0,8.5
80,Khatanga,RU,2021-04-13 06:18:01,71.9667,102.5,25.5,84,99,12.53
81,Butaritari,KI,2021-04-13 06:18:02,3.0707,172.7902,82.22,76,84,10.36
82,Coquimbo,CL,2021-04-13 06:18:02,-29.9533,-71.3436,51.8,100,0,3.44
83,Pevek,RU,2021-04-13 06:18:02,69.7008,170.3133,-7.65,93,75,3.83
84,Yellowknife,CA,2021-04-13 06:18:03,62.456,-114.3525,19.4,73,40,20.71
85,Cape Town,ZA,2021-04-13 06:18:03,-33.9258,18.4232,62.01,100,2,5.75
86,Ulladulla,AU,2021-04-13 06:18:03,-35.35,150.4667,68.0,45,0,12.66
87,Bodden Town,KY,2021-04-13 06:18:04,19.2833,-81.25,78.01,1,27,1.99
88,Bambous Virieux,MU,2021-04-13 06:18:04,-20.3428,57.7575,84.0,74,40,9.22
89,Dulce Nombre De Culmi,HN,2021-04-13 06:18:04,15.1,-85.5333,78.8,78,40,1.66
90,Mahibadhoo,MV,2021-04-13 06:18:05,3.7833,72.9667,82.96,70,44,5.48
91,Lasa,IT,2021-04-13 06:17:26,46.6166,10.7002,44.6,58,20,9.22
92,Sorland,NO,2021-04-13 06:18:05,67.667,12.6934,33.8,75,0,1.14
93,Santander,ES,2021-04-13 06:18:06,43.4647,-3.8044,50.0,57,0,10.36
94,Denizli,TR,2021-04-13 06:18:06,37.8402,29.0698,44.6,70,0,0.11
95,Tasiilaq,GL,2021-04-13 06:18:06,65.6145,-37.6368,23.0,80,40,3.44
96,Aviles,ES,2021-04-13 06:18:06,43.5547,-5.9248,43.0,84,98,4.0
97,Roma,US,2021-04-13 06:18:07,43.2128,-75.4557,45.0,93,20,4.83
98,Mar Del Plata,AR,2021-04-13 06:16:17,-38.0023,-57.5575,61.0,93,0,5.75
99,Jumla,NP,2021-04-13 06:18:07,29.2747,82.1838,67.78,17,10,6.76
100,Hermanus,ZA,2021-04-13 06:18:08,-34.4187,19.2345,64.0,85,4,5.01
101,Talnakh,RU,2021-04-13 06:18:08,69.4865,88.3972,26.51,94,100,14.72
102,Hobart,AU,2021-04-13 06:18:08,-42.8794,147.3294,63.0,55,75,14.97
103,Marienburg,PL,2021-04-13 06:18:09,54.0359,19.0266,42.01,73,100,6.24
104,Comodoro Rivadavia,AR,2021-04-13 06:18:09,-45.8667,-67.5,62.6,51,0,13.8
105,Lata,PT,2021-04-13 06:18:09,40.1629,-8.3327,57.99,90,100,3.06
106,Yumen,CN,2021-04-13 06:18:10,40.2833,97.2,48.42,36,15,2.98
107,Kaeo,NZ,2021-04-13 06:18:10,-35.1,173.7833,66.99,76,19,3.0
108,Dingle,PH,2021-04-13 06:18:10,10.9995,122.6711,87.1,60,95,10.07
109,Cabo San Lucas,MX,2021-04-13 06:15:47,22.8909,-109.9124,72.0,43,0,14.58
110,Kupang,ID,2021-04-13 06:18:11,-10.1667,123.5833,83.32,74,43,7.07
111,Pravia,ES,2021-04-13 06:18:11,43.4906,-6.1508,43.0,84,100,4.0
112,Binga,ZW,2021-04-13 06:18:11,-17.6203,27.3414,71.08,53,2,2.3
113,Saint-Philippe,RE,2021-04-13 06:18:12,-21.3585,55.7679,84.2,65,0,20.71
114,Necochea,AR,2021-04-13 06:18:12,-38.5473,-58.7368,55.0,89,0,1.99
115,Lebu,CL,2021-04-13 06:18:12,-37.6167,-73.65,55.49,91,2,14.74
116,Mahebourg,MU,2021-04-13 06:16:08,-20.4081,57.7,82.4,74,40,9.22
117,San Quintin,MX,2021-04-13 06:18:13,30.4833,-115.95,57.51,83,12,6.46
118,Tonj,SS,2021-04-13 06:17:17,7.2737,28.6822,80.53,58,100,1.25
119,Kavieng,PG,2021-04-13 06:18:13,-2.5744,150.7967,82.08,62,100,12.01
120,New Norfolk,AU,2021-04-13 06:18:14,-42.7826,147.0587,63.0,47,100,4.0
121,Uthal,PK,2021-04-13 06:18:14,25.8072,66.6219,90.39,30,50,8.25
122,Acari,PE,2021-04-13 06:18:14,-15.4311,-74.6158,71.73,79,98,2.77
123,Ust-Kulom,RU,2021-04-13 06:18:15,61.6864,53.6902,44.69,73,60,8.46
124,Nikolskoye,RU,2021-04-13 06:18:15,59.7035,30.7861,52.0,46,0,4.47
125,Coruripe,BR,2021-04-13 06:18:15,-10.1256,-36.1756,76.08,85,79,3.09
