false,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Ormara,PK,79.99,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
281,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
282,Jashpurnagar,IN,87.62,overcast clouds,22.9,84.15,Sagar Restaurant
283,Labuhan,ID,84.24,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
284,Tambacounda,SN,84.2,clear sky,13.7539,-13.7586,
285,Poya,NC,80.04,light rain,-21.35,165.15,
288,Lasem,ID,84.27,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
291,Payo,ID,86.9,light rain,-3.7508,103.6372,Mess keban agung
292,Tevaitoa,PF,82.2,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
298,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
301,Carutapera,BR,77.36,broken clouds,-1.195,-46.02,Lidera
302,Cayenne,GF,81.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
304,Sikasso,ML,81.88,broken clouds,10.9167,-7.0,
308,Dong Hoi,VN,83.19,broken clouds,17.4833,106.6,Nam Long Hotel
315,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
316,San Cristobal,VE,78.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
319,Arlit,NE,82.18,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
323,Finschhafen,PG,84.92,scattered clouds,-6.6024,147.8681,Cossam Guest House
326,Manadhoo,MV,83.12,overcast clouds,5.7667,73.3833,Vevu Guesthouse
327,Namibe,AO,79.74,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
328,Sibolga,ID,85.14,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
330,Qiongshan,CN,86.0,broken clouds,20.0058,110.3542,Sun City Restaurant
331,Puerto Cabezas,NI,77.61,clear sky,14.0351,-83.3888,Cabaña Caribe
333,Alice Springs,AU,80.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
336,Srivardhan,IN,85.17,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
338,Hithadhoo,MV,82.09,scattered clouds,-0.6,73.0833,Scoop Guest House
340,Alenquer,BR,75.2,few clouds,-1.9417,-54.7383,Josilene Castro
345,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
354,Pandan,PH,81.18,overcast clouds,14.0453,124.1694,Bonifacio Lodge
364,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
366,Palomares,MX,79.52,broken clouds,17.15,-95.0667,Hotel Monarca
